Field ID	Description	Short_Name	Category	Category_Name
25644	WA L3 in tract superior longitudinal fasciculus (L)			Diffusion_brain_MRI
25646	WA L3 in tract superior thalamic radiation (L)			Diffusion_brain_MRI
25647	WA L3 in tract superior thalamic radiation (R)			Diffusion_brain_MRI
25648	WA L3 in tract uncinate fasciculus (L)			Diffusion_brain_MRI
25649	WA L3 in tract uncinate fasciculus (R)			Diffusion_brain_MRI
25650	WA ICVF in tract acoustic radiation (L)			Diffusion_brain_MRI
25651	WA ICVF in tract acoustic radiation (R)			Diffusion_brain_MRI
25652	WA ICVF in tract anterior thalamic radiation (L)			Diffusion_brain_MRI
25653	WA ICVF in tract anterior thalamic radiation (R)			Diffusion_brain_MRI
25654	WA ICVF in tract cingulate gyrus part of cingulum (L)			Diffusion_brain_MRI
25655	WA ICVF in tract cingulate gyrus part of cingulum (R)			Diffusion_brain_MRI
25656	WA ICVF in tract parahippocampal part of cingulum (L)			Diffusion_brain_MRI
25657	WA ICVF in tract parahippocampal part of cingulum (R)			Diffusion_brain_MRI
25658	WA ICVF in tract corticospinal tract (L)			Diffusion_brain_MRI
25659	WA ICVF in tract corticospinal tract (R)			Diffusion_brain_MRI
25660	WA ICVF in tract forceps major			Diffusion_brain_MRI
25661	WA ICVF in tract forceps minor			Diffusion_brain_MRI
25662	WA ICVF in tract inferior fronto-occipital fasciculus (L)			Diffusion_brain_MRI
25663	WA ICVF in tract inferior fronto-occipital fasciculus (R)			Diffusion_brain_MRI
25664	WA ICVF in tract inferior longitudinal fasciculus (L)			Diffusion_brain_MRI
25665	WA ICVF in tract inferior longitudinal fasciculus (R)			Diffusion_brain_MRI
25666	WA ICVF in tract middle cerebellar peduncle			Diffusion_brain_MRI
25667	WA ICVF in tract medial lemniscus (L)			Diffusion_brain_MRI
25668	WA ICVF in tract medial lemniscus (R)			Diffusion_brain_MRI
25669	WA ICVF in tract posterior thalamic radiation (L)			Diffusion_brain_MRI
25670	WA ICVF in tract posterior thalamic radiation (R)			Diffusion_brain_MRI
25671	WA ICVF in tract superior longitudinal fasciculus (L)			Diffusion_brain_MRI
25672	WA ICVF in tract superior longitudinal fasciculus (R)			Diffusion_brain_MRI
25673	WA ICVF in tract superior thalamic radiation (L)			Diffusion_brain_MRI
25674	WA ICVF in tract superior thalamic radiation (R)			Diffusion_brain_MRI
25675	WA ICVF in tract uncinate fasciculus (L)			Diffusion_brain_MRI
25676	WA ICVF in tract uncinate fasciculus (R)			Diffusion_brain_MRI
25679	WA OD in tract anterior thalamic radiation (L)			Diffusion_brain_MRI
25680	WA OD in tract anterior thalamic radiation (R)			Diffusion_brain_MRI
25681	WA OD in tract cingulate gyrus part of cingulum (L)			Diffusion_brain_MRI
25682	WA OD in tract cingulate gyrus part of cingulum (R)			Diffusion_brain_MRI
25684	WA OD in tract parahippocampal part of cingulum (R)			Diffusion_brain_MRI
25685	WA OD in tract corticospinal tract (L)			Diffusion_brain_MRI
25687	WA OD in tract forceps major			Diffusion_brain_MRI
25689	WA OD in tract inferior fronto-occipital fasciculus (L)			Diffusion_brain_MRI
25690	WA OD in tract inferior fronto-occipital fasciculus (R)			Diffusion_brain_MRI
25691	WA OD in tract inferior longitudinal fasciculus (L)			Diffusion_brain_MRI
25692	WA OD in tract inferior longitudinal fasciculus (R)			Diffusion_brain_MRI
25694	WA OD in tract medial lemniscus (L)			Diffusion_brain_MRI
