Field.ID	Description	Category	Category_Name
25375	Mean_ICVF_in_sagittal_stratum_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25376	Mean_ICVF_in_external_capsule_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25377	Mean_ICVF_in_external_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25378	Mean_ICVF_in_cingulum_cingulate_gyrus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25379	Mean_ICVF_in_cingulum_cingulate_gyrus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25380	Mean_ICVF_in_cingulum_hippocampus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25381	Mean_ICVF_in_cingulum_hippocampus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25382	Mean_ICVF_in_fornix_cres+stria_terminalis_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25383	Mean_ICVF_in_fornix_cres+stria_terminalis_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25384	Mean_ICVF_in_superior_longitudinal_fasciculus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25385	Mean_ICVF_in_superior_longitudinal_fasciculus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25386	Mean_ICVF_in_superior_fronto-occipital_fasciculus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25387	Mean_ICVF_in_superior_fronto-occipital_fasciculus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25388	Mean_ICVF_in_uncinate_fasciculus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25389	Mean_ICVF_in_uncinate_fasciculus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25391	Mean_ICVF_in_tapetum_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25440	Mean_ISOVF_in_middle_cerebellar_peduncle_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25441	Mean_ISOVF_in_pontine_crossing_tract_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25443	Mean_ISOVF_in_body_of_corpus_callosum_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25445	Mean_ISOVF_in_fornix_on_FA_skeleton	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25446	Mean_ISOVF_in_corticospinal_tract_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25447	Mean_ISOVF_in_corticospinal_tract_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25451	Mean_ISOVF_in_inferior_cerebellar_peduncle_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25452	Mean_ISOVF_in_superior_cerebellar_peduncle_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25453	Mean_ISOVF_in_superior_cerebellar_peduncle_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25457	Mean_ISOVF_in_anterior_limb_of_internal_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25458	Mean_ISOVF_in_posterior_limb_of_internal_capsule_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25460	Mean_ISOVF_in_retrolenticular_part_of_internal_capsule_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25461	Mean_ISOVF_in_retrolenticular_part_of_internal_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25462	Mean_ISOVF_in_anterior_corona_radiata_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25463	Mean_ISOVF_in_anterior_corona_radiata_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25464	Mean_ISOVF_in_superior_corona_radiata_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25465	Mean_ISOVF_in_superior_corona_radiata_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25467	Mean_ISOVF_in_posterior_corona_radiata_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25469	Mean_ISOVF_in_posterior_thalamic_radiation_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25470	Mean_ISOVF_in_sagittal_stratum_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25471	Mean_ISOVF_in_sagittal_stratum_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25473	Mean_ISOVF_in_external_capsule_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25474	Mean_ISOVF_in_cingulum_cingulate_gyrus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25475	Mean_ISOVF_in_cingulum_cingulate_gyrus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25482	Mean_ISOVF_in_superior_fronto-occipital_fasciculus_on_FA_skeleton_(R)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25483	Mean_ISOVF_in_superior_fronto-occipital_fasciculus_on_FA_skeleton_(L)	Diffusion_brain_MRI_dMRI_skeleton	Diffusion_brain_MRI
25488	WA_FA_in_tract_acoustic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25489	WA_FA_in_tract_acoustic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25490	WA_FA_in_tract_anterior_thalamic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25491	WA_FA_in_tract_anterior_thalamic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25492	WA_FA_in_tract_cingulate_gyrus_part_of_cingulum_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25493	WA_FA_in_tract_cingulate_gyrus_part_of_cingulum_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25495	WA_FA_in_tract_parahippocampal_part_of_cingulum_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25497	WA_FA_in_tract_corticospinal_tract_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25498	WA_FA_in_tract_forceps_major	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25499	WA_FA_in_tract_forceps_minor	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25500	WA_FA_in_tract_inferior_fronto-occipital_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25501	WA_FA_in_tract_inferior_fronto-occipital_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25502	WA_FA_in_tract_inferior_longitudinal_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25503	WA_FA_in_tract_inferior_longitudinal_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25506	WA_FA_in_tract_medial_lemniscus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25507	WA_FA_in_tract_posterior_thalamic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25508	WA_FA_in_tract_posterior_thalamic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25509	WA_FA_in_tract_superior_longitudinal_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25511	WA_FA_in_tract_superior_thalamic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25512	WA_FA_in_tract_superior_thalamic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25513	WA_FA_in_tract_uncinate_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25514	WA_FA_in_tract_uncinate_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25515	WA_MD_in_tract_acoustic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25516	WA_MD_in_tract_acoustic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25517	WA_MD_in_tract_anterior_thalamic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25519	WA_MD_in_tract_cingulate_gyrus_part_of_cingulum_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25520	WA_MD_in_tract_cingulate_gyrus_part_of_cingulum_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25521	WA_MD_in_tract_parahippocampal_part_of_cingulum_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25523	WA_MD_in_tract_corticospinal_tract_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25524	WA_MD_in_tract_corticospinal_tract_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25525	WA_MD_in_tract_forceps_major	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25526	WA_MD_in_tract_forceps_minor	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25527	WA_MD_in_tract_inferior_fronto-occipital_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25528	WA_MD_in_tract_inferior_fronto-occipital_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25529	WA_MD_in_tract_inferior_longitudinal_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
